week,total_recipients,bounces,unique_opens,open_rate,total_opens,date_last_open,unique_clicks,click_rate,total_clicks,date_last_click,unsubs
1,1814,38,733,0.404079383,1682,9/26/2020,179,0.24420191,628,9/18/2020,4
2,6857,53,2550,0.371882748,4815,10/16/2020,419,0.164313725,936,2/22/2020,15
3,6809,16,2452,0.360111617,4416,10/21/2020,346,0.141109299,829,8/21/2020,7
4,6786,1,2320,0.341880342,4210,10/8/2020,307,0.132327586,717,4/8/2020,10
5,6773,127,2245,0.331463163,4422,10/22/2020,293,0.130512249,715,7/26/2020,8
6,6717,84,2150,0.320083371,3774,10/16/2020,216,0.100465116,475,8/21/2020,9
7,6620,0,2113,0.31918429,3738,10/14/2020,274,0.12967345,577,12/30/2019,8
8,6607,0,2140,0.323898895,3931,10/10/2020,275,0.128504673,593,9/13/2020,7
9,6597,0,2039,0.309079885,3580,10/29/2020,189,0.092692496,516,8/22/2020,4
10,6589,0,2033,0.308544544,3412,10/14/2020,216,0.106246926,395,1/28/2020,2
