week,total_recipients,bounces,unique_opens,open_rate,total_opens,date_last_open,unique_clicks,click_rate,total_clicks,date_last_click,unsubs
1,6087,15,2051,0.336947593,4465,44210,352,0.171623598,946,44101,7
2,6062,4,1904,0.31408776,3849,44210,239,0.12552521,561,44123,6
3,6048,2,1756,0.290343915,3308,44195,116,0.066059226,215,44195,5
4,6039,4,1710,0.283159463,3140,44202,127,0.074269006,240,44169,4
5,6028,2,1666,0.276376908,2988,44207,116,0.069627851,252,44119,2
6,6026,81,1859,0.308496515,3370,44210,125,0.067240452,234,44183,15
7,5927,3,1589,0.268095158,2746,44208,127,0.079924481,225,44156,5
8,5915,4,1907,0.322400676,3230,44208,102,0.053487153,171,44160,12
9,5901,2,1537,0.260464328,2889,44208,86,0.055953155,146,44177,5
10,5893,4,1570,0.266417784,2863,44208,99,0.063057325,219,44207,3
