send_date,recipients,open_rate,click_rate
4/25/2021,425,0.3082,0.2306
5/9/2021,428,0.3201,0.1168
5/23/2021,434,0.288,0.1429
6/20/2021,439,0.3713,0.1959
6/27/2021,439,0.369,0.262
7/4/2021,444,0.3536,0.2005
