week,total_recipients,bounces,unique_opens,open_rate,total_opens,date_last_open,unique_clicks,click_rate,total_clicks,date_last_click,unsubs
1,7384,7,2547,0.344934995,4728,44369,203,0.07970161,362,44231,4
2,7367,7,2408,0.326863038,4041,44361,138,0.05730897,237,44225,10
3,7343,31,2367,0.322347814,4094,44371,143,0.060414026,258,44298,9
4,7310,65,2304,0.315184679,3918,44371,139,0.060329861,265,44331,7
5,7257,30,2173,0.299435028,3688,44371,102,0.046939715,177,44363,3
6,7229,11,2075,0.287038318,3470,44369,142,0.068433735,280,44311,6
7,7213,5,2058,0.285318176,3553,44369,147,0.071428571,319,44311,4
8,7208,4,2196,0.304661487,3514,44361,132,0.06010929,214,44298,7
