week,total_recipients,bounces,unique_opens,open_rate,total_opens,date_last_open,unique_clicks,click_rate,total_clicks,date_last_click,unsubs
1,3243,1,2153,0.663891459,5153,2/10/2021,414,0.192289828,1112,9/21/2020,4
2,3499,8,2149,0.614175479,4896,2/6/2021,455,0.211726384,1094,2/6/2021,0
3,3499,2,2044,0.584166905,4171,2/19/2021,380,0.18590998,934,9/28/2020,1
4,3497,0,1934,0.553045468,4171,2/4/2021,287,0.148397104,801,2/25/2020,3
5,3493,0,1891,0.541368451,4115,2/21/2021,276,0.145954521,733,8/30/2020,1
6,3492,0,1797,0.514604811,3746,2/20/2021,184,0.102392877,367,2/1/2021,2
7,3487,0,1809,0.518784055,3692,2/6/2021,227,0.125483693,511,2/23/2021,2
8,3485,0,1777,0.50989957,3631,2/20/2021,306,0.172200338,723,9/22/2020,0
9,3485,0,1695,0.486370158,3164,12/13/2020,195,0.115044248,409,1/15/2020,3
10,3478,1,1647,0.473548016,3397,2/11/2021,266,0.161505768,575,12/22/2020,1
